local_time,local_time,Date,1001_T,1001_RH,1002_T,1002_RH,1003_T,1003_RH,1004_T,1004_RH,1005_T,1005_RH
1,8,1/8/2020,20.79531915,66.05702128,20.74287234,70.66861702,20.44542553,72.82329787,19.90829787,72.26712766,19.73765957,72.10159574
1,9,1/9/2020,24.73882979,56.46297872,24.85691489,60.32159574,25.02776596,60.9006383,24.59159574,59.45021277,24.06617021,60.42319149
1,10,1/10/2020,22.99084211,58.28852632,22.258,65.17789474,22.37115789,66.404,22.03389474,64.39557895,21.84210526,64.48115789
1,11,1/11/2020,16.80659574,57.24776596,16.16468085,63.6156383,16.21159574,65.09968085,15.61521277,63.94978723,15.5956383,63.41914894
1,12,1/12/2020,17.76680851,57.92053191,17.33851064,63.53670213,17.2862766,65.23787234,16.61351064,64.57776596,16.60808511,63.8787234
1,13,1/13/2020,22.88404255,48.33893617,23.09744681,52.71170213,22.78223404,54.45893617,22.2243617,52.8387234,21.91138298,52.93489362
1,14,1/14/2020,25.82861702,51.77851064,25.77244681,56.36414894,26.0156383,57.28808511,25.20882979,56.33914894,24.94202128,56.4687234
1,15,1/15/2020,26.315,50.14244681,25.99776596,55.90765957,25.79819149,57.05021277,25.68585106,54.90978723,25.42702128,54.91085106
1,16,1/16/2020,18.52117021,62.56691489,18.27931507,70.64438356,17.81468085,70.84510638,17.26978723,69.54021277,17.22712766,69.01744681
1,17,1/17/2020,19.18138298,58.04680851,,,19.16180851,63.71617021,18.18957447,64.33542553,18.21904255,63.54808511
1,18,1/18/2020,21.89340426,57.60010638,,,21.86840426,63.8462766,21.03106383,63.33404255,20.7012766,63.69255319
1,19,1/19/2020,22.34531915,63.7156383,,,21.98904255,71.49297872,21.38946809,70.25851064,21.11468085,70.26414894
1,20,1/20/2020,19.66294737,75.58168421,,,19.01136842,85.02126316,18.71463158,82.62757895,18.60410526,82.56642105
1,21,1/21/2020,18.79212766,57.33712766,,,18.27670213,64.55904255,17.58297872,63.19819149,17.41808511,63.23893617
1,22,1/22/2020,22.82340426,49.55787234,,,22.5562766,56.25489362,22.18382979,54.76457447,21.89882979,54.85829787
1,23,1/23/2020,17.74247312,61.67548387,,,17.05903226,69.70967742,16.71571429,68.76483516,16.61354839,68.87494624
1,24,1/24/2020,18.94880435,44.84478261,,,18.69043478,50.19619565,18.20228261,49.00521739,18.0773913,49.03445652
1,25,1/25/2020,21.97354167,48.34489583,,,21.68364583,54.3475,21.17854167,52.93770833,20.74135417,53.46010417
1,26,1/26/2020,21.045,61.20122222,,,20.28382979,70.3643617,19.57638298,69.50138298,19.41957447,69.33840426
1,27,1/27/2020,19.99979167,55.21885417,,,19.41708333,62.943125,18.68135417,62.12947917,18.44916667,62.21302083
1,28,1/28/2020,19.9759375,57.9621875,,,19.39875,66.25125,18.6153125,65.4809375,18.4828125,65.26604167
1,29,1/29/2020,23.72864583,50.5359375,,,23.571875,56.93979167,23.3728125,54.26604167,22.86958333,55.0153125
1,30,1/30/2020,29.1709375,33.09583333,,,29.1590625,38.49114583,28.65708333,35.89541667,28.015,36.22635417
1,31,1/31/2020,31.41565217,33.98097826,,,31.60130435,38.41532609,30.8101087,37.15054348,30.28423913,37.36086957
2,1,2/1/2020,23.29968421,71.82978947,,,22.41157895,81.41031579,22.25315789,78.66736842,22.12421053,78.65189474
2,2,2/2/2020,19.93734043,56.49393617,,,19.2037234,64.84117021,18.49904255,63.6962766,18.32957447,63.84212766
2,3,2/3/2020,16.90729167,49.56479167,,,15.98,57.8415625,15.4053125,56.61979167,15.44072917,55.98916667
2,4,2/4/2020,16.86114583,45.49520833,,,16.32552083,52.23,15.63385417,51.76552083,15.41135417,51.70416667
2,5,2/5/2020,17.48270833,54.56354167,,,16.9040625,62.59427083,16.15447917,61.92854167,16.00697917,61.76489583
2,6,2/6/2020,20.65,61.1190625,,,20.6765625,67.63666667,19.87270833,66.98614583,19.47114583,67.58979167
2,7,2/7/2020,21.36791667,72.95229167,21.05974359,79.92846154,20.69864583,82.89739583,20.01833333,82.48510417,19.958125,81.83510417
2,8,2/8/2020,23.90145833,58.8425,23.25552083,65.20697917,23.81666667,65.38270833,23.18197917,64.044375,23.11489583,63.53604167
2,9,2/9/2020,22.86177083,56.81114583,22.2821875,62.97760417,22.8715625,62.86291667,22.1578125,61.9575,22.13375,61.31447917
2,10,2/10/2020,22.6551087,66.82945652,22.03166667,72.8846875,22.5571875,73.04979167,21.78885417,72.44875,21.8409375,71.5546875
2,11,2/11/2020,23.086875,68.71364583,22.4609375,75.8278125,22.58760417,77.55239583,21.69177083,77.535,21.606875,77.02479167
2,12,2/12/2020,22.74729167,68.96604167,22.29864583,75.28322917,22.43427083,76.99770833,21.63177083,76.75822917,21.534375,76.32375
